category,age,degree,university.country,employment.country,company.size,undergrad.achievement,undergraduate.need.to.learn,undergraduate.gpa.hired,undergraduate.gpa.proficiency,undergraduate.schoolchoice.proficiency,undergraduate.timeperiod.hired,undergraduate.timeperiod.proficiency,graduate.acheivement,graduate.need.to.learn,graduate.gpa.hired,graduate.timeperiod.hired,graduate.timeperiod.proficiency,BS.4yrExp.hired,BS.4yrExp.proficiency.rightafter,BS.4yrExp.proficiency.after1yr,MS.2yrBS.hired,MS.2yrBS.proficiency.rightafter,MS.2yrBS.proficiency.after1yr,undergraduate.gain.workExp,graudate.gain.workExp,alternatives,graduate.online.program,general.idea
,26 - 35,Bachelor's,USA,USA,below 20 employees,He/She learns programming very well;He/She gets credentials to get a good job,"Project Management skill;Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,"I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.",I think it's not relevant at all.,3 - 6 months,6 - 12 months,He/She learns programming very well.;He/She gets credentials to get a good job.,"Project Management skill;Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,1 - 3 months,3 - 6 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the BS experienced candidate will perform much better; better quality, and faster work, better promotion.",join an open source project,"internships, join an open source project",Massive Open Online Courses (MOOCs),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,26 - 35,Bachelor's,USA,USA,"100 - 1,000 people","He/She learns programming very well;He/She learns computational thinking;He/She gets very good soft skills (communication, teamwork, etc)",Project Management skill;Learn how to be a researcher,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.",I think it's not relevant at all.,0 - 3 months,6 - 12 months,"He/She learns programming very well.;He/She learns computational thinking.;He/She learns project management.;He/She learns real-world problem solving handling industry-type problems.;He/She learns how to be a researcher.;He/She gets very good soft skills (communication, teamwork, etc).;He/She gets credentials to get a good job.",I don't know/prefer not to disclose,I think it's not relevant at all.,1 - 3 months,6 -12 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think that they're more or less have equal chances of getting hired.,They'll perform more or less the same.,They'll perform more or less the same.,"I think students should get an idea of the type of job they want and work on learning and incorporating the technologies (i.e. Angular, Docker, Tomcat, etc) used in that job during the studies.",I think students should get an idea of the type of job they want and work on learning and incorporating the technologies used in that job during the studies.,Massive Open Online Courses (MOOCs),Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Career advancement. Success in the program should be a guarantee of a better position.,The MS students are more prepared than undergraduate-level students.
,26 - 35,Bachelor's,USA,USA,below 20 employees,He/She learns computational thinking,Programming in different languages;Real-world problem solving handling industry-type problems,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,6 - 12 months,He/She learns programming very well.;He/She learns computational thinking.;He/She learns how to be a researcher.,Project Management skill;Real-world problem solving handling industry-type problems,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I don't know/prefer not to disclose,3 - 6 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",I don't know/prefer not to disclose.,I think the BS experienced candidate will stand more chances.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,Internships,Internships (if they don't already have a job),Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.,The MS students are more prepared than undergraduate-level students.
,18 - 25,Bachelor's,USA,USA,"100 - 1,000 people",He/She learns computational thinking;He/She gets credentials to get a good job,Real-world problem solving handling industry-type problems,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,6 - 12 months,He/She learns computational thinking.;He/She learns how to be a researcher.,Project Management skill;Real-world problem solving handling industry-type problems,I think it's not relevant at all.,1 - 3 months,3 - 6 months,I think that the BS candidate will stand more chances.,They'll perform more or less the same.,"I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the BS experienced candidate will perform much better; better quality, and faster work, better promotion.","Working on more open-ended, real-world projects with industry partners (via internship or capstone project)","Working during the program, doing internships",Retraining on the job.;Massive Open Online Courses (MOOCs),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.",The BS students are already prepared to join the industry and they do not need a higher post-graduate degree.
,26 - 35,Master's,USA,USA,20 - 100 people,He/She learns computational thinking;He/She gets credentials to get a good job,"Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",3 - 6 months,12 - 24 months,He/She learns computational thinking.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.;Deeper understanding than BS,"No, school and industry are separate",I think it's not relevant at all.,3 - 6 months,3 - 6 months,I think that the BS candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think that the MS candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the MS candidate will perform much better; better quality, and faster work, better promotion.",Internships,Internships,Massive Open Online Courses (MOOCs),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,26 - 35,Bachelor's,USA,USA,20 - 100 people,He/She learns computational thinking;He/She learns project management;He/She gets credentials to get a good job,"Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc);Get credentials and learn skills in finding a good job",I think that a high GPA is totally essential to land a great first job.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,6 - 12 months,"He/She learns programming very well.;He/She learns computational thinking.;He/She learns project management.;He/She learns real-world problem solving handling industry-type problems.;He/She learns how to be a researcher.;He/She gets very good soft skills (communication, teamwork, etc).","Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc);Get the credentials and learn skills in finding a good job","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I believe most of them already have an offer before graduation/after interning.,3 - 6 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the BS experienced candidate will perform much better; better quality, and faster work, better promotion.",Through internships and if that's not possible I propose that they seek out research opportunities,Through internships and if that's not possible I propose that they seek out research opportunities,Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,26 - 35,Associate's Degree,USA,USA,below 20 employees,He/She learns computational thinking;He/She gets credentials to get a good job,Real-world problem solving handling industry-type problems,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.",I think it's not relevant at all.,0 - 3 months,12 - 24 months,He/She learns computational thinking.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,Programming in different languages;Project Management skill;Real-world problem solving handling industry-type problems,I think it's not relevant at all.,1 - 3 months,6 -12 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,Internships,Internships,Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,26 - 35,Master's,USA;Philippines ,Japan,20 - 100 people,He/She learns computational thinking;He/She gets credentials to get a good job,Real-world problem solving handling industry-type problems,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,6 - 12 months,He/She learns computational thinking.;He/She learns real-world problem solving handling industry-type problems.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,Project Management skill,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",1 - 3 months,3 - 6 months,I don't know/prefer not to disclose.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think that the MS candidate will stand more chances.,They'll perform more or less the same.,They'll perform more or less the same.,,,Retraining on the job.,Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,26 - 35,Master's,USA,USA,"more than 10,000 people",He/She learns programming very well;He/She learns computational thinking;He/She learns project management;He/She learns real-world problem solving handling industry-type problems,Programming in different languages;Project Management skill;Real-world problem solving handling industry-type problems;Get credentials and learn skills in finding a good job,I don't know/prefer not to disclose.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,12 - 24 months,He/She learns programming very well.;He/She learns computational thinking.;He/She learns project management.;He/She learns how to be a researcher.,Programming in different languages;Computational Thinking skill;Project Management skill;Learn how to be a researcher,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",1 - 3 months,0 - 3 months,I think that the BS candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think that the MS candidate will stand more chances.,"I think that the MS candidate will perform much better; better quality, and faster work.","I think that the MS candidate will perform much better; better quality, and faster work, better promotion.",Focus on practical course,Get internship,Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),"Time. The online program gives the schedule flexibility.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.",The MS students are more prepared than undergraduate-level students.
,26 - 35,Master's,USA,USA,"more than 10,000 people",He/She learns programming very well;He/She learns computational thinking;He/She learns project management,Programming in different languages;Computational Thinking skill;Project Management skill,I think that a high GPA is totally essential to land a great first job.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.",I think that a top-tier school makes a graduate fundamentally better at his/her job.,0 - 3 months,3 - 6 months,He/She learns project management.,Programming in different languages,I think that a high GPA is totally essential to get a great first job.,1 - 3 months,3 - 6 months,I think that the experienced candidate will stand more chances.,"I think that the BS candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think that the MS candidate will stand more chances.,"I think that the MS candidate will perform much better; better quality, and faster work.","I think that the MS candidate will perform much better; better quality, and faster work, better promotion.",Focus on practical course,Get internship,Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),"Time. The online program gives the schedule flexibility.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.",The MS students are more prepared than undergraduate-level students.
,36 - 45,Master's,USA,USA,"100 - 1,000 people",He/She learns computational thinking;He/She learns how to be a researcher,I don't know/prefer not to disclose,It depends on the industry and the company.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.","A top school makes a fresh graduate less likely to be proficient at real-world software engineering, not more likely.",I don't know/prefer not to disclose.,6 - 12 months,He/She learns computational thinking.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,Learn how to be a researcher;Get the credentials and learn skills in finding a good job,I think it's not relevant at all.,I believe most of them already have an offer before graduation/after interning.,I don't know/prefer not to disclose,I think that they're more or less have equal chances of getting hired.,"I think that the experienced candidate will perform much better; better quality, and faster work.",I don't know/prefer not to disclose.,I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",I don't know/prefer not to disclose.,By working. Undergraduate computer science education is not vocational training and never was.,By working. Graduate computer science education is not vocational training either.,Retraining on the job.;Side projects,"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,26 - 35,Bachelor's,USA,USA,"100 - 1,000 people",He/She learns programming very well;He/She learns computational thinking;He/She gets credentials to get a good job,I don't know/prefer not to disclose,I think it's not relevant at all.,"I think that the higher the GPA, the better a graduate performs on his job.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",I believe most of them already have an offer before graduation/after interning,3 - 6 months,He/She learns computational thinking.;He/She learns how to be a researcher.,I don't know/prefer not to disclose,I think it's not relevant at all.,More than one year,3 - 6 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the BS experienced candidate will perform much better; better quality, and faster work, better promotion.",,,Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.",The BS students are already prepared to join the industry and they do not need a higher post-graduate degree.
,18 - 25,Bachelor's,USA,USA,20 - 100 people,"He/She learns programming very well;He/She learns computational thinking;He/She gets very good soft skills (communication, teamwork, etc);He/She gets credentials to get a good job","Project Management skill;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.",I think it's not relevant at all.,I believe most of them already have an offer before graduation/after interning,6 - 12 months,He/She learns programming very well.;He/She learns computational thinking.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,Real-world problem solving handling industry-type problems;Learn how to be a researcher;Get the credentials and learn skills in finding a good job,I think it's not relevant at all.,I believe most of them already have an offer before graduation/after interning.,3 - 6 months,I think that they're more or less have equal chances of getting hired.,They'll perform more or less the same.,"I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,,,In-person classes in non-academic institutions (e.g. Bradfield school of computer science);I don't know/prefer not to disclose,"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.",The MS students are more prepared than undergraduate-level students.
