Timestamp,What's your age?,What is the highest degree you earned?,"If you hold a university degree, what country you received your degree in?","If you are employed, in which country do you work in?","If you are employed, what is the size of employees in the company's tech department? (if mostly a tech company, just state company size)","Currently, what do you think an UNDERGRADUATE student in CS or SE achieves, when he/she graduates?","Are there any skills, that you think an UNDERGRADUATE student would need to learn at university, where it is not taught by universities, and are essential in working industry?",How do you think the GPA affects a fresh BS graduate's chances to get hired?,How do you think the GPA affects a fresh BS graduate's professional proficiency?,How do you think the school choice (e.g. Top 10/Ivy League university vs random college) affects a fresh BS graduate's professional proficiency?,"How long do you think it will take for a fresh BS graduate to land his/her first job, after graduation?","How long do you think it will take for a fresh BS graduate to become fully proficient at his/her first job, after being hired?","Currently, what do you think a GRADUATE student (for a MS program) in CS or SE achieves, when he/she graduates?","Are there any skills, that you think a GRADUATE student (for a MS program) would need to learn at university, that it is not taught by universities, and are essential in working industry?",How do you think the GPA of a GRADUATE student (for a MS program) affects a fresh graduate to get hired?,"How long do you think a GRADUATE student (for a MS program) will need in order to land his/her first job, after graduation?","How long do you think a GRADUATE student (for a MS program) will need in order to become fully proficient at his/her first job, after being hired?","Consider two candidates for a same job. One holds a 4-year BS degree and has no job experience. The other has no degree, but has 4 years of job experience in a similar role. What do you think about the candidates' chance of being hired?","Consider two fresh hires for the same position at the same company. One holds a 4-year BS degree and no job experience. The other has no degree, but has 4 years of job experience in a similar role. What do you think about the candidates' skills and performance RIGHT AFTER BEING HIRED?","Consider two fresh hires for the same position at the same company. One holds a 4-year BS degree and no job experience. The other has no degree, but has 4 years of job experience in a similar role. They work at the company, in the same role, for one year. What do you think about the candidates' skills and career at that time (after 1 year)?",Consider two candidates for the same job. One holds a relevant MS degree and no job experience. The other has a BS and 2-years of relevant job experience. What do you think about the candidates' chance of being hired?,"Consider two fresh hires for the same position at the same company. One holds a relevant MS degree and no job experience. The other has a BS degree, and a couple of years of experience in a similar role. What do you think about the candidates' skills and performance RIGHT AFTER BEING HIRED?","Consider two fresh hires for the same role at the same company. One holds an MS degree and no job experience. The other has a BS degree, and 2 years of job experience in a similar role. They work at the company, in the same role, for one year. What do you think about the candidates' skills and career at that time (after 1 year)?","In your opinion, how can students gain useful work experience during their UNDERGRADUATE studies, if any? ","In your opinion, how can students gain useful work experience during their GRADUATE studies, if any? ","In your opinion, what could be valid alternatives to a Master's degree for a professional in need of retraining?","In your opinion, what would be the benefits of joining a *graduate-level online* program?","In general, which statement, in your opinion, is more accurate (if we assume that below groups have no previous job experience):",Please select any categories that best describe your current position.
09/07/2018 13:20:47,26 - 35,Bachelor's,USA,USA,"1,000 - 10,000 people","He/She learns programming very well, He/She learns computational thinking, He/She gets credentials to get a good job","Project Management skill, Real-world problem solving handling industry-type problems, Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",3 - 6 months,6 - 12 months,"He/She learns programming very well., He/She learns computational thinking.",Computational Thinking skill,I think it's not relevant at all.,1 - 3 months,3 - 6 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think that they're more or less have equal chances of getting hired.,They'll perform more or less the same.,They'll perform more or less the same.,Internship,Research or Internship,"Massive Open Online Courses (MOOCs), In-person classes in non-academic institutions (e.g. Bradfield school of computer science)","Time. The online program gives the schedule flexibility., Money. The online program mostly are less expensive than on-campus programs., Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient.",Graduate student
09/07/2018 17:24:48,36 - 45,Bachelor's,Colombia,Colombia,"100 - 1,000 people","He/She learns programming very well, He/She gets credentials to get a good job","Computational Thinking skill, Real-world problem solving handling industry-type problems, Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,3 - 6 months,"He/She learns computational thinking., He/She learns real-world problem solving handling industry-type problems., He/She learns how to be a researcher.","Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,1 - 3 months,0 - 3 months,I think that they're more or less have equal chances of getting hired.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think that they're more or less have equal chances of getting hired.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the MS candidate will perform much better; better quality, and faster work, better promotion.",Committing to extra-curricular activities,part time jobs,"Retraining on the job., Massive Open Online Courses (MOOCs), In-person classes in non-academic institutions (e.g. Bradfield school of computer science)","Time. The online program gives the schedule flexibility., Money. The online program mostly are less expensive than on-campus programs., Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient.",Industry professional
09/07/2018 21:37:04,36 - 45,Bachelor's,India,USA,"1,000 - 10,000 people","He/She learns computational thinking, He/She gets credentials to get a good job","Real-world problem solving handling industry-type problems, Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",3 - 6 months,6 - 12 months,"He/She learns computational thinking., He/She learns how to be a researcher., He/She gets credentials to get a good job.","Project Management skill, Real-world problem solving handling industry-type problems","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",3 - 6 months,3 - 6 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think that the MS candidate will stand more chances.,They'll perform more or less the same.,They'll perform more or less the same.,Internships,"Internships, apply what they learn on real world problems","Retraining on the job., Massive Open Online Courses (MOOCs), In-person classes in non-academic institutions (e.g. Bradfield school of computer science)","Time. The online program gives the schedule flexibility., Money. The online program mostly are less expensive than on-campus programs., Motivation. The topic should be of high interest, not just an imposed training experience., Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient.",Graduate student
09/07/2018 22:15:39,I prefer not to disclose,Master's,USA,USA,"1,000 - 10,000 people",He/She learns computational thinking,"Programming in different languages, Project Management skill, Real-world problem solving handling industry-type problems, Learn how to be a researcher, Soft skills (communication, teamwork, etc), Get credentials and learn skills in finding a good job","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,12 - 24 months,"He/She learns computational thinking., He/She learns project management., He/She learns real-world problem solving handling industry-type problems., He/She gets very good soft skills (communication, teamwork, etc)., He/She gets credentials to get a good job.","Programming in different languages, Project Management skill, Real-world problem solving handling industry-type problems, Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,1 - 3 months,12 - 24 months,I think that the BS candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",I don't know/prefer not to disclose.,I think that the MS candidate will stand more chances.,They'll perform more or less the same.,"I think that the MS candidate will perform much better; better quality, and faster work, better promotion.","Get an internship for every summer. Find an industry mentor for the rest of the year. Work on personal ""industry level"" projects on their own time with mentor or professor assistance.",The mentorship influence should come from a research lab. Work on personal projects under their guidance.,Online mentorship/guidance project-based and certified by a company or a school,"Time. The online program gives the schedule flexibility., Money. The online program mostly are less expensive than on-campus programs., Motivation. The topic should be of high interest, not just an imposed training experience., Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient.","Graduate student, Industry professional"
09/07/2018 22:43:06,46 - 55,Bachelor's,USA,South America,20 - 100 people,"He/She learns programming very well, He/She learns computational thinking, He/She learns how to be a researcher, He/She gets credentials to get a good job","Programming in different languages, Real-world problem solving handling industry-type problems, Soft skills (communication, teamwork, etc), Notions of accounting, businesses, product development","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",It depends. GPA is one way to filter people. There are other ways as well.,A top tier school may actually be a negative,I believe most of them already have an offer before graduation/after interning,12 - 24 months,"He/She learns computational thinking., He/She learns how to be a researcher., He/She gets credentials to get a good job.","Programming in different languages, Project Management skill, Real-world problem solving handling industry-type problems, Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I believe most of them already have an offer before graduation/after interning.,3 - 6 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the BS experienced candidate will perform much better; better quality, and faster work, better promotion.","internships, personal projecte","internships, personal projects","Retraining on the job., Massive Open Online Courses (MOOCs)","Time. The online program gives the schedule flexibility., Money. The online program mostly are less expensive than on-campus programs., Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient.","Graduate student, Industry professional"
09/07/2018 23:35:43,56 - 65,Bachelor's,USA,USA,"more than 10,000 people","He/She learns programming very well, He/She learns computational thinking, He/She gets credentials to get a good job","Programming in different languages, Computational Thinking skill, Real-world problem solving handling industry-type problems, Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",3 - 6 months,12 - 24 months,"He/She learns programming very well., He/She learns computational thinking., He/She learns how to be a researcher., He/She gets credentials to get a good job.","Programming in different languages, Computational Thinking skill, Project Management skill, Real-world problem solving handling industry-type problems, Soft skills (communication, teamwork, etc), Get the credentials and learn skills in finding a good job, Learning, research, investigative skills are important","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",3 - 6 months,12 - 24 months,I think that they're more or less have equal chances of getting hired.,They'll perform more or less the same.,"I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the MS candidate will perform much better; better quality, and faster work, better promotion.","Team projects, larger projects of longer duration, varied roles.","Team projects, larger projects of longer duration, varied roles.","Massive Open Online Courses (MOOCs), Combination of Online coursework and mentor/intern roles.","Time. The online program gives the schedule flexibility., Money. The online program mostly are less expensive than on-campus programs., Motivation. The topic should be of high interest, not just an imposed training experience., Career advancement. Success in the program should be a guarantee of a better position., Current, advanced knowledge, understanding of state of the art.",The MS students are more prepared than undergraduate-level students.,"Graduate student, Industry professional"
10/07/2018 00:09:29,36 - 45,Bachelor's,India,USA,"more than 10,000 people","He/She learns programming very well, He/She learns computational thinking, He/She gets credentials to get a good job","Computational Thinking skill, Real-world problem solving handling industry-type problems, Soft skills (communication, teamwork, etc)",I think that a high GPA is totally essential to land a great first job.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.",I think it's not relevant at all.,3 - 6 months,12 - 24 months,"He/She learns programming very well., He/She learns how to be a researcher.","Computational Thinking skill, Real-world problem solving handling industry-type problems","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",3 - 6 months,12 - 24 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the BS experienced candidate will perform much better; better quality, and faster work, better promotion.",Internships and working on real world problems ,Internships and more work experience,"Retraining on the job., Massive Open Online Courses (MOOCs)","Time. The online program gives the schedule flexibility., Money. The online program mostly are less expensive than on-campus programs., Motivation. The topic should be of high interest, not just an imposed training experience., Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient.","Graduate student, Industry professional"
10/07/2018 00:11:44,26 - 35,Bachelor's,India,USA,"more than 10,000 people","He/She learns programming very well, He/She learns how to be a researcher, He/She gets credentials to get a good job","Computational Thinking skill, Real-world problem solving handling industry-type problems","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",3 - 6 months,6 - 12 months,I don't know/prefer not to disclose,I don't know/prefer not to disclose,I don't know/prefer not to disclose.,3 - 6 months,3 - 6 months,I think that they're more or less have equal chances of getting hired.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,,,"Retraining on the job., Massive Open Online Courses (MOOCs)","Time. The online program gives the schedule flexibility., Money. The online program mostly are less expensive than on-campus programs., Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient.","Graduate student, Industry professional"
10/07/2018 00:13:26,26 - 35,Master's,USA,Germany,20 - 100 people,"He/She learns computational thinking, He/She learns how to be a researcher, He/She gets credentials to get a good job",Real-world problem solving handling industry-type problems,I think it's not relevant at all.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",3 - 6 months,0 - 3 months,"He/She learns computational thinking., He/She learns how to be a researcher., He/She gets credentials to get a good job.",Real-world problem solving handling industry-type problems,I think it's not relevant at all.,3 - 6 months,0 - 3 months,I think that the BS candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,Internship,Internship,Massive Open Online Courses (MOOCs),"Time. The online program gives the schedule flexibility., Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient.","Graduate student, Industry professional"
10/07/2018 00:51:52,26 - 35,Bachelor's,USA,USA,20 - 100 people,"He/She learns programming very well, He/She learns computational thinking, He/She gets credentials to get a good job","Learn how to be a researcher, Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",I believe most of them already have an offer before graduation/after interning,6 - 12 months,"He/She learns computational thinking., He/She learns how to be a researcher., He/She gets credentials to get a good job.","Project Management skill, Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I believe most of them already have an offer before graduation/after interning.,6 -12 months,I think that the BS candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think that they're more or less have equal chances of getting hired.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,Interning or co-oping. Also joining student project clubs or research labs.,Same as above,"Retraining on the job., Massive Open Online Courses (MOOCs)","Time. The online program gives the schedule flexibility., Money. The online program mostly are less expensive than on-campus programs., Motivation. The topic should be of high interest, not just an imposed training experience., Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient.","Graduate student, Industry professional"
10/07/2018 01:56:27,18 - 25,Bachelor's,USA,USA,"1,000 - 10,000 people","He/She learns programming very well, He/She learns computational thinking, He/She learns real-world problem solving handling industry-type problems, He/She learns how to be a researcher, He/She gets very good soft skills (communication, teamwork, etc), He/She gets credentials to get a good job","Project Management skill, Soft skills (communication, teamwork, etc)",I think that a high GPA is totally essential to land a great first job.,"I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.",I think it's not relevant at all.,0 - 3 months,3 - 6 months,"He/She learns programming very well., He/She learns computational thinking., He/She learns project management., He/She learns real-world problem solving handling industry-type problems., He/She learns how to be a researcher., He/She gets very good soft skills (communication, teamwork, etc)., He/She gets credentials to get a good job.",Get the credentials and learn skills in finding a good job,I think it's not relevant at all.,3 - 6 months,0 - 3 months,I think that the BS candidate will stand more chances.,"I think that the BS candidate will perform much better; better quality, and faster work.","I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the MS candidate will perform much better; better quality, and faster work, better promotion.",,,Massive Open Online Courses (MOOCs),"Money. The online program mostly are less expensive than on-campus programs., Motivation. The topic should be of high interest, not just an imposed training experience., Career advancement. Success in the program should be a guarantee of a better position.",The MS students are more prepared than undergraduate-level students.,Graduate student
10/07/2018 02:53:36,36 - 45,Bachelor's,USA,USA,"more than 10,000 people","He/She gets credentials to get a good job, Overqualified in Math & General Ed. Underqualified in programming.",(1) Web Tech & Design or (2) Fantastic at Algorithms & Databases.,I think it's not relevant at all.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.",Top colleges & candidates self-select. They would be good without.,0 - 3 months,3 - 6 months,"He/She learns how to be a researcher., He/She gets credentials to get a good job.","(1) Web Tech & Design, (2) Strong at Algorithms & Databases.",I think it's not relevant at all.,I believe most of them already have an offer before graduation/after interning.,3 - 6 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think that they're more or less have equal chances of getting hired.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,"Build complete, useful, real web/mobile apps & be able to talk about it.","Build complete, useful, real web/mobile apps & be able to talk about it.","(1) Building Full Web/Mobile Apps, (2) Competitive Programming.","Time. The online program gives the schedule flexibility., Money. The online program mostly are less expensive than on-campus programs., Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient.",Industry professional
10/07/2018 06:08:32,36 - 45,Master's,USA,USA,"1,000 - 10,000 people","He/She learns programming very well, He/She learns computational thinking, He/She gets very good soft skills (communication, teamwork, etc), He/She gets credentials to get a good job",Project Management skill,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,6 - 12 months,"He/She learns programming very well., He/She learns computational thinking., He/She gets credentials to get a good job.","Project Management skill, Real-world problem solving handling industry-type problems","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I believe most of them already have an offer before graduation/after interning.,12 - 24 months,I think that the experienced candidate will stand more chances.,They'll perform more or less the same.,They'll perform more or less the same.,I think the BS experienced candidate will stand more chances.,"I think that the MS candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,,internships,"Retraining on the job., Massive Open Online Courses (MOOCs)","Time. The online program gives the schedule flexibility., Money. The online program mostly are less expensive than on-campus programs., Motivation. The topic should be of high interest, not just an imposed training experience., Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient.","Graduate student, Professor, teacher, or assistant"
10/07/2018 06:44:23,46 - 55,Bachelor's,USA,USA,"100 - 1,000 people","He/She learns programming very well, He/She learns computational thinking, He/She gets credentials to get a good job","Real-world problem solving handling industry-type problems, Learn how to be a researcher, Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that the higher the GPA, the better a graduate performs on his job.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",3 - 6 months,More than 2 years,"He/She learns programming very well., He/She learns computational thinking., He/She learns project management., He/She learns real-world problem solving handling industry-type problems., He/She learns how to be a researcher., He/She gets credentials to get a good job.","Real-world problem solving handling industry-type problems, Learn how to be a researcher","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",3 - 6 months,12 - 24 months,I think that the BS candidate will stand more chances.,"I think that the BS candidate will perform much better; better quality, and faster work.",I don't know/prefer not to disclose.,I think that the MS candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",I don't know/prefer not to disclose.,Work summer jobs in field - intern if necessary,Assist in research projects,"Retraining on the job., Massive Open Online Courses (MOOCs), In-person classes in non-academic institutions (e.g. Bradfield school of computer science)","Time. The online program gives the schedule flexibility., Money. The online program mostly are less expensive than on-campus programs., Motivation. The topic should be of high interest, not just an imposed training experience., Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient.",Industry professional
10/07/2018 07:20:17,36 - 45,Master's,USA,USA,I prefer not to disclose,I don't know/prefer not to disclose,I don't know/prefer not to disclose,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,0 - 3 months,6 - 12 months,"He/She learns computational thinking., He/She learns real-world problem solving handling industry-type problems., He/She gets credentials to get a good job.","Project Management skill, Real-world problem solving handling industry-type problems, Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,I don't know/prefer not to disclose,6 -12 months,I think that the BS candidate will stand more chances.,I don't know/prefer not to disclose.,They'll perform more or less the same.,I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,internships,work full time while completing graduate studies part time,"Retraining on the job., Massive Open Online Courses (MOOCs), In-person classes in non-academic institutions (e.g. Bradfield school of computer science)","Time. The online program gives the schedule flexibility., Money. The online program mostly are less expensive than on-campus programs., Motivation. The topic should be of high interest, not just an imposed training experience., Career advancement. Success in the program should be a guarantee of a better position.",The BS students are already prepared to join the industry and they do not need a higher post-graduate degree.,"Graduate student, Industry professional"
10/07/2018 08:43:49,36 - 45,Bachelor's,Italy,Italy,below 20 employees,He/She gets credentials to get a good job,"Programming in different languages, Computational Thinking skill, Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.",I don't know/prefer not to disclose.,0 - 3 months,12 - 24 months,"He/She learns computational thinking., He/She gets credentials to get a good job.","Programming in different languages, Project Management skill, Real-world problem solving handling industry-type problems, Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,1 - 3 months,3 - 6 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,"More software architecture, less ""hello world"" excercies","A lot more software architecture, less technology focused courses",Retraining on the job.,"Time. The online program gives the schedule flexibility., Motivation. The topic should be of high interest, not just an imposed training experience., Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient.",Graduate student
10/07/2018 08:53:49,26 - 35,High School,I don't have a degree,Italy,20 - 100 people,"He/She gets very good soft skills (communication, teamwork, etc), He/She gets credentials to get a good job, He gets a solid background, albeit essentially theoretical, in computer science","Programming in different languages, Real-world problem solving handling industry-type problems","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,0 - 3 months,I don't know/prefer not to disclose,I don't know/prefer not to disclose,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I believe most of them already have an offer before graduation/after interning.,0 - 3 months,I think that they're more or less have equal chances of getting hired.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,I think that they're more or less have equal chances of getting hired.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,,,"Retraining on the job., In-person classes in non-academic institutions (e.g. Bradfield school of computer science)","Time. The online program gives the schedule flexibility., Motivation. The topic should be of high interest, not just an imposed training experience.",The MS students are more prepared than undergraduate-level students.,Industry professional
10/07/2018 08:58:55,46 - 55,Bachelor's,Italy,Italy,"more than 10,000 people","He/She learns computational thinking, He/She gets credentials to get a good job","Project Management skill, Real-world problem solving handling industry-type problems, Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",I don't know/prefer not to disclose.,More than 2 years,"He/She learns computational thinking., He/She learns how to be a researcher.","Real-world problem solving handling industry-type problems, Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I don't know/prefer not to disclose,More than 2 years,I think that the BS candidate will stand more chances.,They'll perform more or less the same.,"I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,,,"Retraining on the job., Massive Open Online Courses (MOOCs), In-person classes in non-academic institutions (e.g. Bradfield school of computer science)","Time. The online program gives the schedule flexibility., Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient.",Industry professional
10/07/2018 09:18:04,56 - 65,Bachelor's,USA,USA,"more than 10,000 people","He/She learns computational thinking, He/She gets very good soft skills (communication, teamwork, etc), He/She gets credentials to get a good job","Programming in different languages, Real-world problem solving handling industry-type problems, Learn how to be a researcher","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",6 - 12 months,More than 2 years,He/She learns computational thinking.,Real-world problem solving handling industry-type problems,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",6 - 12 months,More than 2 years,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think that they're more or less have equal chances of getting hired.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,Should make internships = classes.,Internships as a part of education. Actual real credit hours.,Retraining on the job.,"Time. The online program gives the schedule flexibility., Money. The online program mostly are less expensive than on-campus programs., Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient.",Graduate student
10/07/2018 09:28:11,56 - 65,Master's,United Kingdom,United Kingdom,below 20 employees,The average student these days knows basic skills and not much more,"Real-world problem solving handling industry-type problems, Modern thinking on software development - universities are about 10 years behind cutting edge",What's GPA?,What's GPA?,when I graduated the Tech College students were favoured over university students; they could do the work,0 - 3 months,More than 2 years,"I don't know/prefer not to disclose, As before",as above,I don't know/prefer not to disclose.,I don't know/prefer not to disclose,I don't know/prefer not to disclose,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","It really depends on the individuals, in this scenario.",Placement,Placement,Work for a Learning Organization.  I've been learning the topic for the last 35 years,Not much at all.  Academic institutions are way behind the industry leaders.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient.",Industry professional
